40	71
0	1	8
1	1	120
1	4	15
1	8	15
1	12	60
1	22	15
1	38	20
2	3	24
3	3	80
3	18	20
3	24	20
3	26	30
3	36	20
4	5	8
5	5	60
5	12	30
5	22	15
5	24	20
6	7	8
7	7	120
7	10	20
7	14	20
8	9	8
9	9	80
9	12	60
9	22	60
9	34	20
9	38	30
10	11	12
11	11	80
11	14	20
12	13	8
13	13	80
13	22	20
14	15	8
15	15	60
16	17	8
17	17	120
17	20	15
17	28	60
18	19	8
19	19	60
19	26	30
19	36	30
20	21	12
21	21	120
21	28	20
21	38	30
22	23	12
23	23	60
23	24	15
24	25	12
25	25	120
25	26	30
25	32	20
26	27	12
27	27	120
28	29	8
29	29	120
30	31	8
31	31	60
31	36	60
32	33	24
33	33	120
34	35	8
35	35	80
35	38	30
36	37	8
37	37	80
38	39	8
39	39	240																																																																																																															
